appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2224728_1197,2224728,1197,678,678,2012-07-13,Peter Graulund,DK1,1,0,0,0,64
2222960_1716,2222960,1716,6996,6996,2012-07-14,David Odonkor,UKR1,0,0,0,1,27
2245041_2050,2245041,2050,2698,24,2012-07-14,Nelson Valdez,RUSS,0,0,0,0,26
2224729_1725,2224729,1725,173,173,2012-07-15,Jesper Christiansen,DK1,0,0,0,0,90
2224729_2703,2224729,2703,173,173,2012-07-15,Morten Skoubo,DK1,0,0,0,0,7
2224733_1423,2224733,1423,190,855,2012-07-15,Lars Jacobsen,DK1,0,0,0,0,90
2224731_1606,2224731,1606,2414,2414,2012-07-16,Morten Rasmussen,DK1,0,0,0,0,90
2222360_109,2222360,109,825,825,2012-07-19,Dedê,ELQ,0,0,0,0,90
2232104_1197,2232104,1197,678,678,2012-07-19,Peter Graulund,ELQ,0,0,0,0,59
2224561_1606,2224561,1606,2414,2414,2012-07-20,Morten Rasmussen,DK1,0,0,0,0,90
2222590_1331,2222590,1331,121,533,2012-07-21,Kevin Kuranyi,RU1,0,0,0,0,90
2222590_2309,2222590,2309,121,121,2012-07-21,Zvjezdan Misimovic,RU1,0,0,0,0,90
2222590_3321,2222590,3321,121,3725,2012-07-21,Luke Wilkshire,RU1,0,0,0,0,90
2222977_1716,2222977,1716,6996,6996,2012-07-21,David Odonkor,UKR1,0,0,0,0,56
2224564_1725,2224564,1725,173,173,2012-07-22,Jesper Christiansen,DK1,0,0,0,0,90
2224564_2703,2224564,2703,173,173,2012-07-22,Morten Skoubo,DK1,0,0,0,0,18
2224569_1423,2224569,1423,190,855,2012-07-22,Lars Jacobsen,DK1,0,0,0,0,90
2222591_2050,2222591,2050,2698,24,2012-07-23,Nelson Valdez,RU1,0,0,0,0,45
2224568_1197,2224568,1197,678,678,2012-07-23,Peter Graulund,DK1,1,0,0,0,37
2222361_109,2222361,109,825,825,2012-07-26,Dedê,ELQ,0,0,0,0,90
2244352_1197,2244352,1197,678,678,2012-07-26,Peter Graulund,ELQ,1,0,0,0,47
2222972_1716,2222972,1716,6996,6996,2012-07-27,David Odonkor,UKR1,0,0,0,1,61
2224573_1606,2224573,1606,2414,2414,2012-07-27,Morten Rasmussen,DK1,0,0,0,0,90
2222607_1331,2222607,1331,121,533,2012-07-28,Kevin Kuranyi,RU1,0,0,0,0,90
2222607_2309,2222607,2309,121,121,2012-07-28,Zvjezdan Misimovic,RU1,1,0,0,0,90
2222607_3321,2222607,3321,121,3725,2012-07-28,Luke Wilkshire,RU1,0,0,0,0,90
2224571_1423,2224571,1423,190,855,2012-07-28,Lars Jacobsen,DK1,0,0,0,0,90
2244655_3165,2244655,3165,1041,141,2012-07-28,Cris,FRCH,0,0,0,0,90
2222613_2050,2222613,2050,2698,24,2012-07-29,Nelson Valdez,RU1,1,0,0,0,69
2224567_1197,2224567,1197,678,678,2012-07-29,Peter Graulund,DK1,0,0,0,0,34
2224574_1725,2224574,1725,173,173,2012-07-29,Jesper Christiansen,DK1,0,0,0,0,90
2224574_2703,2224574,2703,173,173,2012-07-29,Morten Skoubo,DK1,0,0,0,0,76
2246628_1423,2246628,1423,190,855,2012-08-01,Lars Jacobsen,CLQ,0,0,0,0,90
2246628_3354,2246628,3354,2282,2282,2012-08-01,Jonathan Blondel,CLQ,1,0,0,0,90
2246606_1606,2246606,1606,2414,2414,2012-08-02,Morten Rasmussen,ELQ,0,0,0,0,90
2246609_1161,2246609,1161,46,46,2012-08-02,Javier Zanetti,ELQ,0,0,0,0,90
