game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2218677,506,4,,Massimo Carrera,6195,2,,Walter Mazzarri,Home,1
2218677,6195,2,,Walter Mazzarri,506,4,,Massimo Carrera,Away,0
2219795,13,4,,Diego Simeone,631,1,,Roberto Di Matteo,Away,1
2219795,631,1,,Roberto Di Matteo,13,4,,Diego Simeone,Home,0
2221641,42,6,,Mirko Slomka,1203,1,,Michael Wittwer,Away,1
2221641,1203,1,,Michael Wittwer,42,6,,Mirko Slomka,Home,0
2221749,16,3,,Jürgen Klopp,115,0,,Peter Moussalli,Away,1
2221749,115,0,,Peter Moussalli,16,3,,Jürgen Klopp,Home,0
2221753,79,5,,Bruno Labbadia,2652,0,,Frank Rohde,Away,1
2221753,2652,0,,Frank Rohde,79,5,,Bruno Labbadia,Home,0
2221754,41,2,,Thorsten Fink,48,4,,Markus Kauczinski,Away,0
2221754,48,4,,Markus Kauczinski,41,2,,Thorsten Fink,Home,1
2221758,82,5,,Felix Magath,546,0,,Axel Giere,Away,1
2221758,546,0,,Axel Giere,82,5,,Felix Magath,Home,0
2221759,27,4,,Jupp Heynckes,109,0,,Oscar Corrochano,Away,1
2221759,109,0,,Oscar Corrochano,27,4,,Jupp Heynckes,Home,0
2221760,15,4,,Sascha Lewandowski,113,0,,Petrik Sander,Away,1
2221760,113,0,,Petrik Sander,15,4,,Sascha Lewandowski,Home,0
2221761,39,4,,Thomas Tuchel,10589,0,,Thomas Esch,Away,1
2221761,10589,0,,Thomas Esch,39,4,,Thomas Tuchel,Home,0
2221762,533,0,,Markus Babbel,584,4,,Jens Härtel,Away,0
2221762,584,4,,Jens Härtel,533,0,,Markus Babbel,Home,1
2221763,86,2,,Thomas Schaaf,91,4,,Pavel Dotchev,Away,0
2221763,91,4,,Pavel Dotchev,86,2,,Thomas Schaaf,Home,1
2221764,65,0,,Mike Büskens,107,2,,Arie van Lent,Away,0
2221764,107,2,,Arie van Lent,65,0,,Mike Büskens,Home,1
2221765,24,0,,Armin Veh,94,3,,Karsten Baumann,Away,0
2221765,94,3,,Karsten Baumann,24,0,,Armin Veh,Home,1
2221766,38,1,,Norbert Meier,110,0,,Georgi Donkov,Away,1
2221766,110,0,,Georgi Donkov,38,1,,Norbert Meier,Home,0
2221768,8,0,,Ralf Aussem,18,2,,Lucien Favre,Home,0
2221768,18,2,,Lucien Favre,8,0,,Ralf Aussem,Away,1
2221769,96,0,,Christian Neidhart,167,2,,Markus Weinzierl,Home,0
2221769,167,2,,Markus Weinzierl,96,0,,Christian Neidhart,Away,1
2221771,4,2,,Dieter Hecking,476,3,,André Breitenreiter,Away,0
2221771,476,3,,André Breitenreiter,4,2,,Dieter Hecking,Home,1
2221775,1,0,,Jürgen Luginger,33,5,,Huub Stevens,Home,0
2221775,33,5,,Huub Stevens,1,0,,Jürgen Luginger,Away,1
2222360,825,2,,Ersun Yanal,2578,0,,Steve Lomas,Home,1
2222360,2578,0,,Steve Lomas,825,2,,Ersun Yanal,Away,0
2222361,825,1,,Ersun Yanal,2578,1,,Steve Lomas,Away,0
2222361,2578,1,,Steve Lomas,825,1,,Ersun Yanal,Home,0
2222535,16,2,3.0,Jürgen Klopp,86,1,13.0,Thomas Schaaf,Home,1
2222535,86,1,13.0,Thomas Schaaf,16,2,3.0,Jürgen Klopp,Away,0
2222536,33,2,8.0,Huub Stevens,42,2,9.0,Mirko Slomka,Away,0
2222536,42,2,9.0,Mirko Slomka,33,2,8.0,Huub Stevens,Home,0
2222537,18,2,4.0,Lucien Favre,533,1,14.0,Markus Babbel,Home,1
2222537,533,1,14.0,Markus Babbel,18,2,4.0,Lucien Favre,Away,0
2222538,79,0,16.0,Bruno Labbadia,82,1,7.0,Felix Magath,Home,0
2222538,82,1,7.0,Felix Magath,79,0,16.0,Bruno Labbadia,Away,1
2222539,39,1,10.0,Thomas Tuchel,60,1,11.0,Christian Streich,Away,0
2222539,60,1,11.0,Christian Streich,39,1,10.0,Thomas Tuchel,Home,0
2222540,38,2,2.0,Norbert Meier,167,0,17.0,Markus Weinzierl,Away,1
2222540,167,0,17.0,Markus Weinzierl,38,2,2.0,Norbert Meier,Home,0
2222541,4,1,6.0,Dieter Hecking,41,0,15.0,Thorsten Fink,Away,1
2222541,41,0,15.0,Thorsten Fink,4,1,6.0,Dieter Hecking,Home,0
2222542,15,1,12.0,Sascha Lewandowski,24,2,5.0,Armin Veh,Away,0
2222542,24,2,5.0,Armin Veh,15,1,12.0,Sascha Lewandowski,Home,1
2222543,27,3,1.0,Jupp Heynckes,65,0,18.0,Mike Büskens,Away,1
2222543,65,0,18.0,Mike Büskens,27,3,1.0,Jupp Heynckes,Home,0
2222590,121,0,14.0,Sergey Silkin,12438,1,7.0,Gadzhi Gadzhiev,Away,0
2222590,12438,1,7.0,Gadzhi Gadzhiev,121,0,14.0,Sergey Silkin,Home,1
2222591,2698,1,12.0,Kurban Berdyev,16704,2,5.0,Slavoljub Muslin,Away,0
2222591,16704,2,5.0,Slavoljub Muslin,2698,1,12.0,Kurban Berdyev,Home,1
2222607,121,0,16.0,Sergey Silkin,964,2,1.0,Luciano Spalletti,Away,0
2222607,964,2,1.0,Luciano Spalletti,121,0,16.0,Sergey Silkin,Home,1
2222608,121,1,16.0,Dmitriy Khokhlov,3725,2,4.0,Stanislav Cherchesov,Home,0
2222608,3725,2,4.0,Stanislav Cherchesov,121,1,16.0,Dmitriy Khokhlov,Away,1
2222613,2698,3,6.0,Kurban Berdyev,2703,1,15.0,Vladimir Gazzaev,Home,1
2222613,2703,1,15.0,Vladimir Gazzaev,2698,3,6.0,Kurban Berdyev,Away,0
2222623,121,0,16.0,Dmitriy Khokhlov,2698,2,2.0,Kurban Berdyev,Away,0
2222623,2698,2,2.0,Kurban Berdyev,121,0,16.0,Dmitriy Khokhlov,Home,1
2222632,121,1,16.0,Dan Petrescu,2439,2,6.0,Yuriy Krasnozhan,Home,0
2222632,2439,2,6.0,Yuriy Krasnozhan,121,1,16.0,Dan Petrescu,Away,1
2222633,121,0,16.0,Sergey Silkin,232,4,1.0,Unai Emery,Home,0
2222633,232,4,1.0,Unai Emery,121,0,16.0,Sergey Silkin,Away,1
2222646,1083,0,14.0,Miodrag Bozovic,2698,4,7.0,Kurban Berdyev,Home,0
2222646,2698,4,7.0,Kurban Berdyev,1083,0,14.0,Miodrag Bozovic,Away,1
2222647,1083,1,13.0,Miodrag Bozovic,3725,2,3.0,Stanislav Cherchesov,Away,0
2222647,3725,2,3.0,Stanislav Cherchesov,1083,1,13.0,Miodrag Bozovic,Home,1
2222652,121,0,14.0,Dan Petrescu,2700,2,1.0,Guus Hiddink,Home,0
2222652,2700,2,1.0,Guus Hiddink,121,0,14.0,Dan Petrescu,Away,1
2222654,121,3,14.0,Dan Petrescu,4128,2,9.0,Rustem Khuzin,Home,1
2222654,4128,2,9.0,Rustem Khuzin,121,3,14.0,Dan Petrescu,Away,0
2222656,121,0,16.0,Dan Petrescu,1083,1,11.0,Miodrag Bozovic,Away,0
2222656,1083,1,11.0,Miodrag Bozovic,121,0,16.0,Dan Petrescu,Home,1
2222658,121,2,13.0,Dan Petrescu,2410,0,2.0,Leonid Slutski,Away,1
2222658,2410,0,2.0,Leonid Slutski,121,2,13.0,Dan Petrescu,Home,0
2222660,232,3,6.0,Unai Emery,1083,1,12.0,Miodrag Bozovic,Home,1
2222660,1083,1,12.0,Miodrag Bozovic,232,3,6.0,Unai Emery,Away,0
2222678,121,2,9.0,Dan Petrescu,3725,1,6.0,Stanislav Cherchesov,Away,1
2222678,3725,1,6.0,Stanislav Cherchesov,121,2,9.0,Dan Petrescu,Home,0
2222681,121,2,12.0,Dan Petrescu,11126,1,15.0,Fedor Shcherbachenko,Away,1
2222681,11126,1,15.0,Fedor Shcherbachenko,121,2,12.0,Dan Petrescu,Home,0
2222686,932,0,5.0,Slaven Bilic,1083,0,14.0,Miodrag Bozovic,Away,0
2222686,1083,0,14.0,Miodrag Bozovic,932,0,5.0,Slaven Bilic,Home,0
2222692,121,0,11.0,Dan Petrescu,16704,2,9.0,Slavoljub Muslin,Away,0
2222692,16704,2,9.0,Slavoljub Muslin,121,0,11.0,Dan Petrescu,Home,1
2222693,121,1,11.0,Dan Petrescu,2696,0,12.0,Andrey Kobelev,Home,1
2222693,2696,0,12.0,Andrey Kobelev,121,1,11.0,Dan Petrescu,Away,0
2222694,1083,0,14.0,Miodrag Bozovic,2439,1,5.0,Yuriy Krasnozhan,Away,0
2222694,2439,1,5.0,Yuriy Krasnozhan,1083,0,14.0,Miodrag Bozovic,Home,1
2222695,964,2,3.0,Luciano Spalletti,1083,1,15.0,Miodrag Bozovic,Home,1
2222695,1083,1,15.0,Miodrag Bozovic,964,2,3.0,Luciano Spalletti,Away,0
2222708,121,3,10.0,Dan Petrescu,964,0,3.0,Luciano Spalletti,Home,1
2222708,964,0,3.0,Luciano Spalletti,121,3,10.0,Dan Petrescu,Away,0
2222710,121,2,11.0,Dan Petrescu,2703,0,15.0,Vladimir Gazzaev,Home,1
2222710,2703,0,15.0,Vladimir Gazzaev,121,2,11.0,Dan Petrescu,Away,0
2222720,121,5,9.0,Dan Petrescu,232,1,7.0,Unai Emery,Away,1
2222720,232,1,7.0,Unai Emery,121,5,9.0,Dan Petrescu,Home,0
2222731,121,3,9.0,Dan Petrescu,2698,0,6.0,Kurban Berdyev,Home,1
2222731,2698,0,6.0,Kurban Berdyev,121,3,9.0,Dan Petrescu,Away,0
2222747,121,1,7.0,Dan Petrescu,2439,1,4.0,Leonid Kuchuk,Away,0
2222747,2439,1,4.0,Leonid Kuchuk,121,1,7.0,Dan Petrescu,Home,0
2222756,121,1,7.0,Dan Petrescu,1083,0,12.0,Miodrag Bozovic,Home,1
2222756,1083,0,12.0,Miodrag Bozovic,121,1,7.0,Dan Petrescu,Away,0
2222761,121,1,7.0,Dan Petrescu,932,0,10.0,Slaven Bilic,Home,1
2222761,932,0,10.0,Slaven Bilic,121,1,7.0,Dan Petrescu,Away,0
2222777,121,1,6.0,Dan Petrescu,16704,1,9.0,Slavoljub Muslin,Home,0
2222777,16704,1,9.0,Slavoljub Muslin,121,1,6.0,Dan Petrescu,Away,0
2222778,121,0,7.0,Dan Petrescu,12438,0,13.0,Yuriy Kalitvintsev,Home,0
2222778,12438,0,13.0,Yuriy Kalitvintsev,121,0,7.0,Dan Petrescu,Away,0
2222783,121,0,7.0,Dan Petrescu,2703,1,16.0,Valeriy Gazzaev,Away,0
2222783,2703,1,16.0,Valeriy Gazzaev,121,0,7.0,Dan Petrescu,Home,1
2222788,121,1,6.0,Dan Petrescu,4128,1,12.0,Rustem Khuzin,Away,0
2222788,4128,1,12.0,Rustem Khuzin,121,1,6.0,Dan Petrescu,Home,0
2222796,121,0,7.0,Dan Petrescu,2410,0,1.0,Leonid Slutski,Home,0
2222796,2410,0,1.0,Leonid Slutski,121,0,7.0,Dan Petrescu,Away,0
2222802,121,3,7.0,Dan Petrescu,2700,3,3.0,Guus Hiddink,Away,0
2222802,2700,3,3.0,Guus Hiddink,121,3,7.0,Dan Petrescu,Home,0
