game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
2218677,SCI,2012,Final,2012-08-11,506,6195,4,2,,,Massimo Carrera,Walter Mazzarri,National Stadium (Bird's Nest),60000.0,Paolo Silvio Mazzoleni,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2218677,,,Juventus FC,SSC Napoli,4:2,other
2219795,USC,2012,Final,2012-08-31,631,13,1,4,,,Roberto Di Matteo,Diego Simeone,Stade Louis-II,14312.0,Damir Skomina,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2219795,,,Chelsea FC,Atlético de Madrid,1:4,international_cup
2221641,DFB,2012,First Round,2012-08-19,1203,42,1,6,,,Michael Wittwer,Mirko Slomka,Stadion an der Kreuzeiche,3168.0,Benjamin Cortus,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221641,,,FC Nöttingen,Hannover 96,1:6,domestic_cup
2221749,DFB,2012,First Round,2012-08-18,115,16,0,3,,,Peter Moussalli,Jürgen Klopp,Wohninvest-Weserstadion,19325.0,Florian Meyer,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221749,,,FC Oberneuland,Borussia Dortmund,0:3,domestic_cup
2221753,DFB,2012,First Round,2012-08-18,2652,79,0,5,,,Frank Rohde,Bruno Labbadia,Karl-Liebknecht-Stadion,7200.0,Thorsten Schriever,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221753,,,SV Falkensee/Finkenkrug,VfB Stuttgart,0:5,domestic_cup
2221754,DFB,2012,First Round,2012-08-19,48,41,4,2,,,Markus Kauczinski,Thorsten Fink,BBBank  Wildpark,16138.0,Bastian Dankert,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221754,,,Karlsruher SC,Hamburger SV,4:2,domestic_cup
2221758,DFB,2012,First Round,2012-08-18,546,82,0,5,,,Axel Giere,Felix Magath,Stadion an der Lohmühle,3487.0,Dr. Robert Kampka,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221758,,,FC Schönberg 95,VfL Wolfsburg,0:5,domestic_cup
2221759,DFB,2012,First Round,2012-08-20,109,27,0,4,,,Oscar Corrochano,Jupp Heynckes,Jahnstadion,12500.0,Guido Winkmann,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221759,,,SSV Jahn Regensburg,Bayern Munich,0:4,domestic_cup
2221760,DFB,2012,First Round,2012-08-18,113,15,0,4,,,Petrik Sander,Sascha Lewandowski,ad hoc Arena im Ernst-Abbe-Sportfeld,8043.0,Tobias Stieler,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221760,,,FC Carl Zeiss Jena,Bayer 04 Leverkusen,0:4,domestic_cup
2221761,DFB,2012,First Round,2012-08-19,10589,39,0,4,,,Thomas Esch,Thomas Tuchel,Stadion Oberwerth,3100.0,Bibiana Steinhaus-Webb,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221761,,,SV Roßbach/Verscheid,1.FSV Mainz 05,0:4,domestic_cup
